日期,地区,产品线,访问量,转化单量,销售额
2026-03-01,华东,AI智能助手,1500,120,59800.00
2026-03-01,华北,AI智能助手,1200,85,42300.00
2026-03-01,华南,AI智能助手,1800,160,79600.00
2026-03-08,华东,AI智能助手,1650,135,67300.00
2026-03-08,华北,AI智能助手,1300,90,44800.00
2026-03-08,华南,AI智能助手,1900,175,87200.00
2026-03-15,华东,AI智能助手,1700,145,72300.00
2026-03-15,华北,AI智能助手,1250,95,47300.00
2026-03-15,华南,AI智能助手,2000,190,94700.00
2026-03-22,华东,AI智能助手,1800,160,79800.00
2026-03-22,华北,AI智能助手,1400,110,54800.00
2026-03-22,华南,AI智能助手,2100,205,102200.00
2026-03-29,华东,AI智能助手,1950,180,89700.00
2026-03-29,华北,AI智能助手,1500,125,62300.00
2026-03-29,华南,AI智能助手,2250,230,114600.00